CPIAUCSL,FEDFUNDS,M2SL,M2V,GDPC1
36.3,7.41,575.7,1.749,5299.625
36.4,8.67,576.5,1.7573333333333334,5311.283333333334
36.6,8.9,578.5,1.7656666666666667,5322.941666666667
36.8,8.61,579.5,1.774,5334.6
36.9,9.19,580.1,1.7736666666666667,5325.9186666666665
37.1,9.15,582.1,1.7733333333333332,5317.2373333333335
37.3,9.0,583.4,1.773,5308.556
37.5,8.85,585.4,1.7783333333333333,5305.921333333333
37.7,8.97,587.9,1.7836666666666665,5303.286666666667
37.9,8.98,589.6,1.789,5300.652
38.1,8.98,586.3,1.794,5303.156
38.3,7.76,587.3,1.799,5305.66
38.5,8.1,588.4,1.804,5308.164
38.6,7.95,591.5,1.801,5324.468333333333
38.8,7.61,595.2,1.798,5340.772666666667
38.9,7.21,599.1,1.795,5357.077
39.0,6.62,604.9,1.7806666666666666,5337.942
39.2,6.29,611.2,1.7663333333333333,5318.807
39.4,6.2,616.4,1.752,5299.672
39.6,5.6,621.1,1.758,5347.654333333333
39.8,4.9,626.5,1.764,5395.636666666666
39.9,4.14,632.9,1.77,5443.619
39.9,3.72,641.0,1.7586666666666666,5453.432333333333
40.0,3.71,649.9,1.7473333333333334,5463.245666666667
40.1,4.16,658.4,1.736,5473.059
40.3,4.63,666.7,1.7296666666666667,5488.0633333333335
40.5,4.91,673.0,1.7233333333333334,5503.067666666667
40.6,5.31,679.6,1.717,5518.072
40.7,5.57,685.5,1.708,5522.392
40.8,5.55,692.5,1.699,5526.712
40.9,5.2,698.4,1.69,5531.032
41.0,4.91,704.6,1.692,5564.904333333334
41.1,4.14,710.3,1.694,5598.776666666667
41.2,3.51,717.7,1.696,5632.649
41.4,3.3,725.7,1.6983333333333333,5675.256
41.4,3.83,733.5,1.7006666666666668,5717.863
41.5,4.17,738.4,1.703,5760.47
41.6,4.27,743.3,1.695,5778.598
41.7,4.46,749.7,1.687,5796.726000000001
41.8,4.55,759.5,1.679,5814.854
41.9,4.81,768.7,1.677,5847.309333333334
42.1,4.87,778.3,1.675,5879.764666666667
42.2,5.05,786.9,1.673,5912.22
42.4,5.06,793.9,1.68,5960.9946666666665
42.5,5.33,802.3,1.687,6009.769333333334
42.7,5.94,810.3,1.694,6058.544
43.0,6.58,814.1,1.6993333333333334,6080.531333333333
43.4,7.09,815.3,1.7046666666666666,6102.518666666667
43.7,7.12,819.7,1.71,6124.506
43.9,7.84,826.8,1.7103333333333333,6113.771000000001
44.2,8.49,833.3,1.7106666666666668,6103.036
44.2,10.4,836.5,1.711,6092.301
45.0,10.5,838.8,1.7203333333333335,6111.577666666667
45.2,10.78,839.3,1.7296666666666667,6130.854333333334
45.6,10.01,842.6,1.739,6150.131
45.9,10.03,848.9,1.7343333333333335,6132.506666666667
46.3,9.95,855.5,1.7296666666666667,6114.882333333333
46.8,9.65,859.7,1.725,6097.258
47.3,8.97,864.2,1.7326666666666668,6102.089
47.8,9.35,870.1,1.7403333333333333,6106.92
48.1,10.51,872.9,1.748,6111.751
48.6,11.31,874.6,1.7533333333333334,6092.493333333334
49.0,11.93,877.8,1.7586666666666666,6073.2356666666665
49.3,12.92,881.4,1.764,6053.978
49.9,12.01,884.1,1.7696666666666667,6046.14
50.6,11.34,887.9,1.7753333333333332,6038.302
51.0,10.06,893.3,1.781,6030.464
51.5,9.45,898.6,1.776,6005.987666666667
51.9,8.53,902.1,1.771,5981.511333333333
52.3,7.13,906.3,1.766,5957.035
52.6,6.24,914.1,1.7576666666666667,5971.2266666666665
52.8,5.54,925.0,1.7493333333333334,5985.418333333333
53.0,5.49,935.1,1.741,5999.61
